neutral,Won the match #getin . Plus\u002c tomorrow is a very busy day\u002c with Awareness Day\u2019s and debates. Gulp. Debates...
neutral,Some areas of New England could see the first flakes of the season Tuesday.
negative,@francesco_con40 2nd worst QB. DEFINITELY Tony Romo. The man who likes to share the ball with everyone. Including the other team.
neutral,#Thailand Washington - US President Barack Obama vowed Wednesday as he visited storm-ravaged New Jersey shore to... http://t.co/Xzl4LFhs
neutral,Did y\u2019all hear what Tony Romo dressed up as for Halloween? A Giants quaterback! Cause that\u2019s all he could throw to sunday night.
positive,Tim Tebow may be availible ! Wow Jerry \u002c what the heck you waiting for ! http://t.co/a7z9FBL4
positive,@mariakaykay aga tayo tomorrow ah. :) Good night\u002c Ces. Love you! >:D<
neutral,Tina Fey & Amy Poehler are hosting the Golden Globe awards on January 13. What do you think?
positive,Lunch from my new Lil spot ...THE COTTON BOWL ....pretty good#1st#time#will be going back# http://t.co/Dbbj8xLZ
positive,SNC Halloween Pr. Pumped. Let\u2019s work it for Sunday....Packers vs....who knows or caresn. #SNC #cheerpracticeonhalloween
negative,@jacquelinemegan I\u2019m sorry\u002c I Heart Paris is no longer available at the Rockwell branch! You may call 8587000 to get a copy transferred! :)
neutral,Manchester United will try to return to winning ways when they face Arsenal in the Premier League at Old Trafford on Saturday.
neutral,Going to a bulls game with Aaliyah & hope next Thursday
neutral,Any Toon Fans with a spare ticket for Anfield on Sunday?willing to pay extra #NUFC
positive,Louis inspired outfit on Monday and Zayn inspired outfit today..4/5 done just need Harry  :)
neutral,going to bed now...Rose parade then game tomorrow
neutral,@_Nenaah oh cause my friend got something from china and they said it will take at least 6 to 8 weeks and it came in the 2nd week :P
positive,"I love the banner that was unfurled in the United end last night. It read: \""Chelsea - Standing up against racism since Sunday\"""
positive,#Repost Chris Bosh may be ugly. But he has a gorgeous wife and adorbs baby. I want to be happy like them one http://t.co/S6moxr1U
negative,@prodnose is this one of your little jokes like Elvis playing at the Marquee  next Tuesday?
positive,"Gary Ablett wins the AFLPA MVP for the 4th time in his career. He should have started his speech with- \""Yeah\u002c I\u2019d... http://t.co/K31dSryH"
negative,Gold edges down ahead of US jobs data: SINGAPORE (Reuters) - Gold edged lower on Friday\u002c with investors waiting for... http://t.co/CiqFona1
neutral,.@NUMensSoccer: Another close-range IU shot goes high. Kyle Schickel checks in for Missimo. Kyle missed the Wisconsin game last Sunday.
positive,Lana Del Rey at Hammersmith Apollo in May... Very badly want tickets
neutral,Shaw wouldn\u2019t let Luck throw late in the FIesta Bowl\u002c but he\u2019s fine with Nunes throwing a fade route on 4th and 4 w/ 1:50 left.
negative,Monday before I leave Singapore\u002c I am going to post something that might be offensive.
positive,ABC has @jaketapper \u002c and the Country Music Awards\u002c they may still have a little credibility come Wednesday. #tcot
positive,Here in the Philippines\u002c Its November 2 and I was like where\u2019s my phone?! What is the time in LONDON?! #Excited #LittleThngs @NiallOfficial
positive,Tonight Dr. Terrie Hale Scheckelhoff will be formally installed as the 11th Head of School. Welcome to the Saints family @TScheckelhoff!
neutral,Man\u002c bye. I gotta work all day and drive to Houston tomorrow.
neutral,@thaalitaa410 won\u2019t get emojis till tomorrow beeeotch! when is your grandma going back to brazil? i wanna see your fam before they leave!
negative,\u2019Love-cheat\u2019 Daniel Radcliffe splits with girlfriend Rosie Coker: London\u002c Oct 19: Daniel Radcliffe has split wit... http://t.co/ZVlsK2HQ
positive,@solz_b He\u2019s a true Niners fan\u002c he brought it up in a interview during his 2nd season. :D
positive,Patriots Extend Lead\u002c Cruise into 4th with 38-7 Lead - Pats Pulpit: The Patriots extended their lead in the 3rd ... http://t.co/knFUZ5ak
positive,@KevOrf_5 Yeah I think so. We saw Suarez score up near us and we played pretty well 2nd half so it wasn\u2019t so bad. Probably should\u2019ve had ET
neutral,I may exit off twitter and fb  and thug with instagram btw its blonde_lifestyle:insta
neutral,Indiana 1\u002c Northwestern 0\u002c end first half\u002c men\u2019s soccer. Eriq Zavaleta\u2019s 16th goal the difference. IU dominating play. #iusocc
neutral,"VH1\u2019s \""Mob Wives\"" Celebrate the 20th Anniversary of the @5001Flavors Clothing Line in New York City - http://t.co/EcNEy9fM @carnegiepr"
positive,Pretty Little Liars was the shit ! I can\u2019t wait til tomorrow ! I wanna see who all innocent & who got something to do with Allison dying !
positive,@MonicaGonzo Texas and Baylor both looked awesome last night. We are heading to the games tomorrow night.I say final is Texas/Baylor
neutral,If you are in Vancouver this weekend\u002c check out @staticstars on Sat. at 20:00 @ The Commo in Vancouver\u002c BC http://t.co/szy2d90C #concert
positive,GREAT GAME GIRLS!! On to districts Monday at Fox!! Thanks to the fans for coming out :)
neutral,Jesiah of course can\u2019t fall asleep. So since he\u2019s off school tomorrow\u002c he\u2019s cuddled up with mama watching Wizards of Waverly Place<3
neutral,@gleekyspnluver @flippinstarkids It says on Wiki that the ep will now air on the 13th\u002c no links at the moment for it.
negative,Cardinal men take 4th in Cypress Point tournament: A good host never outshines their guests\u002c but the Stanford me... http://t.co/JJGPNolq
neutral,Who\u2019s going to Concords football game this Saturday?
positive,#7FactsAboutMyBestFriend 17\u002c plays softball\u002c loves the Lakers\u002c she\u2019s a LA girl\u002c Junior\u002c Birthday September\u002c 15th & she loves her black boys!
neutral,"So Friday at Onyx there was a bachelor party & the best man tells the bachelor\u002c \""You getting married tomorrow!\"" The bachelor says..."
positive,waking up to a Niners win\u002c makes Tuesday get off to a great start! 21-3 over the cards and 2 games clear in the NFC West.
positive,Contest Tomorrow! I will post a local Tucson property that is currently Active in the Tucson MLS. The first person... http://t.co/V55HsKTI
neutral,@kellyinvegas @collegegameday If it\u2019s the Iowa vs. Indiana game\u002c we may be the only two there! #TicketsAreProbablyFree
negative,@Duffy_Louise Nooooooo this Sunday is the last episode of Downton Abbey. :( There\u2019s a Christmas special coming but that\u2019s AGES away.
positive,@justinbieber im so excited even though i wont see you til novemeber 5th. oiershdjkfwle GOOD LUCK TONIGHT\u002c KIDRAUHL!
negative,I believe the snobish mainstream media\u002c ABC\u002c CBS\u002cNBC\u002c CNN\u002c MSNBC may get their comeupance this election. People r sick of their bias!
neutral,If you didnt see it already heres my Halloween effort from Saturday - David Bowie frm the Labyrinth as a vamp! http://t.co/GMzfdHnR
negative,Well if no ones going to school tomorrow then I guess I won\u2019t go :p
positive,Tom Brady wins AFC offensive player of the week for 22nd time http://t.co/gwjLE1k8 (via @ProFootballTalk)
negative,Watching Contraband on the PVR & it\u2019s too frigging predictable to continue watching. Gonna go wash my hair. #friday
negative,@JoshNorris @Rotoworld_Draft I\u2019d be pretty mad if the Packers took Bernard in the 1st just bc\u002c Cooper/Eifert would be better IMO.
neutral,Herald Sun: AFL stars make their UFC 152 picks: DANE Swan and Gary Ablett give us their pick... http://t.co/ptKILitj #sidebyside #gopies
positive,Very amaZAYN voice to the 1st verse man ZAYN MALIK! @zaynmalik xx
negative,Steal by Chalmers\u002c on the break away and is fouled by Garnett. That is his 3rd foul of this game. #Celtics #299COMM
neutral,@Holly_Gilchrist you out again on Thursday for #aNightmareOnGeorgeStreet at Chalmers?? #round2
positive,"Free to Watch!!! Justified: \""Justified\"" follows Marshal Raylan Givens\u002c a modern day 19th century-style lawman\u002c w... http://t.co/Lep5fnF1"
neutral,@_BigDaddyDouley Come SUPPORT the SHOW/MOVEMENT at Park dale High School on Oct 26th from 8-11 w/ AJA\u002c DREAMTEAM\u002c HQB\u002c DSB & HIB
positive,@drewbrees I admire the relationship U have with your family.  Lol iron man\u2019s a pretty suitable costume. Good Luck Monday Go Saints!
neutral,@shuayb_ well i went maths on mon\u002c tues + wed but cba now youu? &nopee just town today and thats itt x_x
positive,Lance just left\u002c dinner with the fam was great. Managed to watch Napoleon Dynamite and The Devil Inside. Long story short: wonderful sunday.
